sample	conc	ratio
ARID-WT	10	0.004034108
ARID-WT	10	0.025165056
ARID-WT	10	0.021089833
ARID-WT	10	0.013226433
ARID-WT	10	0.046617979
ARID-WT	10	0.019609631
ARID-WT	10	0.028127029
ARID-WT	10	0.101993031
ARID-WT	10	0.114060421
ARID-WT	10	0.013051885
ARID-WT	10	0.010410315
ARID-WT	10	0.004402606
ARID-WT	10	0.010078281
ARID-WT	10	0.016661631
ARID-WT	10	0.020072007
ARID-WT	10	0.036706499
ARID-WT	10	0.025566918
ARID-WT	10	0.060887809
ARID-WT	10	0.006186925
ARID-WT	10	0.029282175
ARID-WT	10	0.168202964
ARID-WT	10	0.059881638
ARID-WT	10	0.00765472
ARID-WT	10	0.106994563
ARID-WT	10	0.195913182
ARID-WT	10	0.025110767
ARID-WT	10	0.005479403
ARID-WT	10	0.023056461
ARID-WT	10	0.02457856
ARID-WT	10	0.022020005
ARID-WT	2	0.285038189
ARID-WT	2	0.255474126
ARID-WT	2	0.310236247
ARID-WT	2	0.406660197
ARID-WT	2	0.196077902
ARID-WT	2	0.299827719
ARID-WT	2	0.484947494
ARID-WT	2	0.270668187
ARID-WT	2	0.13031869
ARID-WT	2	0.133224817
ARID-WT	2	0.329336572
ARID-WT	2	0.296982141
ARID-WT	2	0.11742822
ARID-WT	2	0.191616472
ARID-WT	2	0.212198943
ARID-WT	2	0.248333997
ARID-WT	2	0.286824102
ARID-WT	2	0.184864061
ARID-WT	2	0.219417115
ARID-WT	2	0.449038959
ARID-WT	2	0.161992087
ARID-WT	2	0.311241724
ARID-WT	2	0.635864105
ARID-WT	2	0.483807173
ARID-WT	2	0.13542503
ARID-WT	2	0.291441165
ARID-WT	2	0.906399265
ARID-WT	2	0.55644387
ARID-WT	2	0.177832079
ARID-WT	2	0.273717109
ARID-WT	2	0.324918423
ARID-WT	2	0.402613862
ARID-WT	0.4	0.630568279
ARID-WT	0.4	0.58332151
ARID-WT	0.4	0.69817259
ARID-WT	0.4	0.860352685
ARID-WT	0.4	0.462900146
ARID-WT	0.4	0.594834802
ARID-WT	0.4	0.84442113
ARID-WT	0.4	0.561747534
ARID-WT	0.4	0.421485851
ARID-WT	0.4	0.554243429
ARID-WT	0.4	0.856892756
ARID-WT	0.4	0.673120055
ARID-WT	0.4	0.50370895
ARID-WT	0.4	0.461693254
ARID-WT	0.4	0.626041755
ARID-WT	0.4	0.774029633
ARID-WT	0.4	0.6704601
ARID-WT	0.4	0.502301213
ARID-WT	0.4	0.590681797
ARID-WT	0.4	0.622627494
ARID-WT	0.4	0.694471828
ARID-WT	0.4	0.777392206
ARID-WT	0.4	0.951775603
ARID-WT	0.4	0.727973056
ARID-WT	0.4	0.490544816
ARID-WT	0.4	0.53715156
ARID-WT	0.4	0.483247804
ARID-WT	0.4	0.608145708
ARID-WT	0.4	0.487335489
ARID-WT	0.4	0.542246994
ARID-WT	0.4	0.48880866
ARID-WT	0.4	0.639762532
ARID-WT	0.08	0.48556957
ARID-WT	0.08	0.571145359
ARID-WT	0.08	0.618141525
ARID-WT	0.08	0.427485659
ARID-WT	0.08	0.448231033
ARID-WT	0.08	0.575062644
ARID-WT	0.08	0.727617373
ARID-WT	0.08	0.487442501
ARID-WT	0.08	0.491733872
ARID-WT	0.08	0.275517563
ARID-WT	0.08	0.431838601
ARID-WT	0.08	0.46710359
ARID-WT	0.08	0.410378794
ARID-WT	0.08	0.395843275
ARID-WT	0.08	0.509066915
ARID-WT	0.08	0.471163329
ARID-WT	0.08	0.527230946
ARID-WT	0.08	0.454767944
ARID-WT	0.08	0.654250906
ARID-WT	0.08	0.674955838
ARID-WT	0.08	0.70867302
ARID-WT	0.08	0.602979046
ARID-WT	0.08	0.795874545
ARID-WT	0.08	0.563112444
ARID-WT	0.08	0.534170911
ARID-WT	0.08	0.435587416
ARID-WT	0.08	0.525936923
ARID-WT	0.08	0.470181821
ARID-WT	0.08	0.394284791
ARID-WT	0.08	0.538365835
ARID-WT	0.08	0.552106605
ARID-WT	0.08	0.403471887
ARID-WT	0.02	1.124511225
ARID-WT	0.02	1.122096988
ARID-WT	0.02	1.113836191
ARID-WT	0.02	1.104607403
ARID-WT	0.02	1.098787539
ARID-WT	0.02	1.134124777
ARID-WT	0.02	1.116831607
ARID-WT	0.02	1.109062813
ARID-WT	0.02	1.114062596
ARID-WT	0.02	1.107749365
ARID-WT	0.02	1.100644679
ARID-WT	0.02	1.111861133
ARID-WT	0.02	1.043116842
ARID-WT	0.02	1.019152599
ARID-WT	0.02	1.121856496
ARID-WT	0.02	0.98412265
ARID-WT	0.02	1.084842742
ARID-WT	0.02	1.054168689
ARID-WT	0.02	1.018561422
ARID-WT	0.02	1.10838087
ARID-WT	0.02	1.099168327
ARID-WT	0.02	1.111131818
ARID-WT	0.02	1.118474724
ARID-WT	0.02	1.094139008
ARID-WT	0.02	1.10570592
ARID-WT	0.02	0.932580534
ARID-WT	0.02	0.980141295
ARID-WT	0.02	1.06790162
ARID-WT	0.02	0.937172492
ARID-WT	0.02	0.928290413
ARID-WT	0.02	0.987155896
ARID-WT	0.02	1.046586995
