Elapsed	A1.1	A1.2	A1.3	A1.4	A1.5	A1.6	A1.7	A1.8	A1.9	A1.10	A1.11	A1.12	A1.13	A1.14	A1.15	A1.16	A1.17	A1.18	A1.19	A1.20	A1.21	A1.22	A1.23	A1.24	A1.25	B1.1	B1.2	B1.3	B1.4	B1.5	B1.6	B1.7	B1.8	B1.9	B1.10	B1.11	B1.12	B1.13	B1.14	B1.15	B1.16	B1.17	B1.18	B1.19	B1.20	B1.21	B1.22	B1.23	B1.24	B1.25	C1.1	C1.2	C1.3	C1.4	C1.5	C1.6	C1.7	C1.8	C1.9	C1.10	C1.11	C1.12	C1.13	C1.14	C1.15	C1.16	C1.17	C1.18	C1.19	C1.20	C1.21	C1.22	C1.23	C1.24	C1.25	D1.1	D1.2	D1.3	D1.4	D1.5	D1.6	D1.7	D1.8	D1.9	D1.10	D1.11	D1.12	D1.13	D1.14	D1.15	D1.16	D1.17	D1.18	D1.19	D1.20	D1.21	D1.22	D1.23	D1.24	D1.25	A12.1	A12.2	A12.3	A12.4	A12.5	A12.6	A12.7	A12.8	A12.9	A12.10	A12.11	A12.12	A12.13	A12.14	A12.15	A12.16	A12.17	A12.18	A12.19	A12.20	A12.21	A12.22	A12.23	A12.24	A12.25	B12.1	B12.2	B12.3	B12.4	B12.5	B12.6	B12.7	B12.8	B12.9	B12.10	B12.11	B12.12	B12.13	B12.14	B12.15	B12.16	B12.17	B12.18	B12.19	B12.20	B12.21	B12.22	B12.23	B12.24	B12.25	C12.1	C12.2	C12.3	C12.4	C12.5	C12.6	C12.7	C12.8	C12.9	C12.10	C12.11	C12.12	C12.13	C12.14	C12.15	C12.16	C12.17	C12.18	C12.19	C12.20	C12.21	C12.22	C12.23	C12.24	C12.25	D12.1	D12.2	D12.3	D12.4	D12.5	D12.6	D12.7	D12.8	D12.9	D12.10	D12.11	D12.12	D12.13	D12.14	D12.15	D12.16	D12.17	D12.18	D12.19	D12.20	D12.21	D12.22	D12.23	D12.24	D12.25
20	1.828444	1.871583	1.805314	1.771612	1.501585	1.678495	1.813344	1.787107	1.929628	1.708348	1.668818	1.693303	1.901993	1.931499	1.890611	1.609962	1.658753	1.799263	1.75502	2.140305	1.378541	1.565495	1.710788	1.701221	2.026145	1.765163	1.754176	1.748436	1.866904	1.627313	1.659965	1.788032	1.907136	1.931258	1.706887	1.760313	1.690147	1.882415	1.849808	1.802093	1.899375	1.694298	1.762428	1.951686	1.914201	1.751623	1.695734	1.675016	1.60147	1.661301	1.71125	1.954098	1.638903	1.822958	1.606176	2.034206	1.892306	1.884451	1.839161	1.838406	1.784946	1.790671	1.799593	1.984231	1.870841	1.758498	1.751471	1.69813	1.654439	1.72793	1.735324	1.730191	1.764478	1.733922	1.484628	1.609768	1.585824	1.648671	1.616235	1.504585	1.599587	1.727798	1.806499	1.913797	1.807731	1.703103	1.628296	1.878614	1.857405	1.9304	1.862514	1.949335	1.680614	1.551765	1.554082	1.855144	1.69289	1.653587	1.521912	1.388851	1.744794	1.708825	1.718163	2.065667	2.018797	1.761079	1.860909	1.783504	1.810353	2.097747	1.802228	1.865978	1.885015	1.922012	1.832902	2.008669	2.018375	2.145977	1.711253	1.715647	2.380913	2.186013	1.837123	1.622124	1.701801	1.773657	1.828041	1.936682	2.06336	2.223611	1.923851	1.823046	1.91114	2.126373	2.18043	2.054712	1.957443	2.140036	2.128398	2.087768	2.287799	2.259917	2.21618	2.144195	1.823287	2.086205	2.26774	2.194536	1.833192	1.850749	1.734538	1.980095	1.890532	2.066988	2.004265	1.770932	1.989752	2.32547	1.982038	2.057007	1.978208	2.437788	2.302125	2.111952	2.069529	2.254725	2.255706	2.19611	2.118241	2.15995	1.959274	1.92097	1.769403	1.785146	1.884147	2.048639	2.069397	2.019145	1.783268	1.667064	1.977931	1.96405	1.838081	1.913433	1.801612	1.993273	1.856037	1.633545	1.752472	1.747794	1.910254	2.227946	2.042051	2.158878	1.686071	1.795856	2.043984	1.98814	2.166615	1.977722
22	1.951837	2.041794	1.979558	1.829342	1.540439	1.770613	1.986585	1.92702	2.077487	1.779698	1.768452	1.80039	2.039488	2.109308	1.994168	1.705153	1.774139	1.9109	1.9273	2.26049	1.402383	1.64051	1.824134	1.841573	2.245223	1.891132	1.87787	1.844526	1.965543	1.704822	1.768998	1.96582	2.106764	2.082487	1.824415	1.88986	1.794413	2.025163	1.966832	1.940002	2.024867	1.810452	1.900725	2.104488	2.053108	1.865129	1.8095	1.787127	1.702169	1.776933	1.816595	2.056822	1.732577	1.924164	1.668586	2.197317	2.028731	2.009181	1.95218	1.946413	1.890897	1.880138	1.890906	2.110813	2.03628	1.864413	1.879367	1.795797	1.717526	1.828492	1.817027	1.851432	1.859675	1.833074	1.536743	1.669016	1.648802	1.706661	1.675608	1.54779	1.695624	1.80378	1.927348	2.015783	1.923248	1.842676	1.744249	1.985975	2.039164	2.069537	2.031972	2.110568	1.797851	1.639048	1.603439	1.952537	1.796216	1.749082	1.589124	1.419398	1.839922	1.815486	1.860783	2.217081	2.13146	1.880511	1.986851	1.934844	1.952636	2.220726	1.909383	2.054926	2.027743	2.151365	1.968693	2.196675	2.217641	2.372305	1.835167	1.829267	2.534991	2.408216	1.953604	1.725858	1.831431	1.895463	1.960013	2.069631	2.232179	2.422418	2.098458	1.940143	2.065025	2.323281	2.440848	2.248208	2.096955	2.291714	2.303045	2.2326	2.473023	2.413472	2.362937	2.325927	1.937453	2.288747	2.419256	2.346858	1.961381	1.972965	1.829769	2.073286	1.9817	2.205034	2.127634	1.882157	2.114472	2.482078	2.119206	2.205111	2.12267	2.589188	2.436659	2.282353	2.195593	2.427347	2.406837	2.372557	2.225434	2.280464	2.041407	2.049555	1.874422	1.885468	1.957166	2.235893	2.168664	2.199101	1.862351	1.722368	2.085617	2.091742	2.021616	2.016418	1.855068	2.133249	1.987973	1.74365	1.829223	1.814702	1.996513	2.321189	2.12262	2.266404	1.762435	1.895316	2.151657	2.125604	2.29002	2.097124
24	2.028659	2.205127	2.15212	2.006846	1.565843	1.860255	2.132529	1.998036	2.237058	1.839658	1.875048	1.882962	2.134355	2.282137	2.109206	1.762593	1.857808	2.050626	2.088809	2.404737	1.421316	1.685983	1.923883	1.969869	2.3904	2.029175	2.008161	1.9542	2.116065	1.774518	1.861981	2.114943	2.261691	2.177891	1.926573	1.995956	1.876301	2.127629	2.132705	2.104447	2.165585	1.893598	2.014002	2.228814	2.206748	1.936988	1.887895	1.870549	1.775066	1.863958	1.93003	2.160264	1.7981	2.015176	1.71932	2.304012	2.15804	2.139409	2.113934	2.062144	2.029256	1.982906	1.9899	2.278107	2.211258	1.985825	2.008608	1.880153	1.813525	1.914294	1.910433	1.942892	1.951623	1.91529	1.588597	1.72402	1.71792	1.787999	1.746685	1.590924	1.766397	1.860692	2.074826	2.129142	2.041706	1.970446	1.83026	2.113937	2.193938	2.234131	2.18012	2.257538	1.910939	1.759759	1.664827	2.045059	1.880712	1.864558	1.658154	1.453648	1.946291	1.921489	1.967899	2.386916	2.287406	1.976589	2.103471	2.063419	2.120223	2.436007	2.006928	2.19357	2.195642	2.348448	2.065093	2.34161	2.360363	2.553634	1.949776	1.93697	2.697651	2.568691	2.111099	1.799911	1.911965	1.978471	2.070035	2.208333	2.393032	2.676807	2.23874	2.066005	2.257964	2.486401	2.580919	2.40556	2.234641	2.479662	2.492038	2.377134	2.694533	2.621537	2.507341	2.450205	2.020088	2.470964	2.572479	2.502187	2.054403	2.056203	1.93791	2.193422	2.055241	2.330083	2.267025	1.949494	2.233536	2.665525	2.323546	2.408092	2.241899	2.786048	2.650659	2.399362	2.290268	2.645049	2.526674	2.529212	2.310123	2.375718	2.172708	2.143141	1.996451	1.969538	2.05443	2.414444	2.316454	2.316619	1.948831	1.78843	2.208652	2.22645	2.198082	2.123493	1.910491	2.259437	2.12167	1.863803	1.915467	1.879197	2.113403	2.434521	2.235903	2.378027	1.831533	1.981399	2.254406	2.235086	2.452376	2.216994
26	2.127026	2.370237	2.236813	2.120848	1.575109	1.934464	2.251924	2.095951	2.341045	1.876729	1.965043	1.94944	2.263645	2.396634	2.204487	1.820531	1.943595	2.186085	2.192311	2.544914	1.433953	1.721021	1.992682	2.105517	2.486794	2.134418	2.102575	2.067183	2.228273	1.804475	1.941672	2.241922	2.384269	2.291181	2.008276	2.090607	1.934	2.215264	2.265819	2.191113	2.267532	1.951832	2.118356	2.354949	2.268181	1.994198	1.953223	1.936047	1.825351	1.922942	2.025747	2.263045	1.888408	2.136601	1.771948	2.447737	2.308159	2.264169	2.237113	2.169063	2.150192	2.063341	2.081247	2.51368	2.369746	2.093078	2.103791	1.9605	1.899884	1.971706	2.040595	2.039512	2.039924	1.98075	1.624045	1.774398	1.775813	1.834223	1.783398	1.620604	1.825901	1.907571	2.21959	2.225154	2.151921	2.094117	1.938273	2.260157	2.329443	2.369137	2.308276	2.441226	1.987928	1.85647	1.704736	2.167546	1.960441	1.960077	1.728051	1.475597	2.01954	1.99365	2.057854	2.521759	2.426464	2.035093	2.202761	2.205997	2.246179	2.536778	2.071686	2.310576	2.34971	2.48357	2.18198	2.435193	2.466462	2.723997	2.035824	2.020004	2.814533	2.700183	2.203414	1.858202	1.980557	2.038877	2.139993	2.310853	2.55077	2.864628	2.331138	2.170548	2.386189	2.661834	2.752481	2.570216	2.393904	2.593657	2.654686	2.480645	2.850451	2.75643	2.611367	2.559865	2.083902	2.588814	2.702754	2.60119	2.130019	2.120716	2.019988	2.281765	2.135899	2.452456	2.38967	2.030985	2.352045	2.809711	2.470828	2.566138	2.36745	3.011541	2.854677	2.559901	2.412158	2.817729	2.691732	2.646661	2.415024	2.493198	2.259762	2.243388	2.098797	2.041249	2.135391	2.579705	2.522802	2.462772	2.014916	1.83415	2.327443	2.377361	2.337964	2.226876	1.955466	2.377936	2.248827	1.939021	2.037013	1.920839	2.211258	2.535431	2.314577	2.526826	1.878411	2.040143	2.361927	2.342601	2.657936	2.337707
28	2.176733	2.538727	2.357049	2.198596	1.579263	1.998737	2.346735	2.148928	2.451133	1.902982	2.024706	2.004022	2.324079	2.534811	2.274196	1.850003	2.027448	2.288865	2.269663	2.626577	1.441074	1.736887	2.042794	2.213773	2.595598	2.222849	2.165874	2.140158	2.29238	1.841788	2.015346	2.354521	2.442535	2.387715	2.070797	2.158884	1.980611	2.287809	2.348264	2.261559	2.337032	2.000007	2.196121	2.4558	2.379006	2.035485	2.003983	1.992806	1.872219	1.959887	2.094244	2.403573	1.97253	2.217648	1.830896	2.576354	2.454883	2.408182	2.314276	2.304518	2.258912	2.174503	2.172247	2.674033	2.465002	2.213655	2.2105	2.023269	2.002483	2.03095	2.151681	2.139902	2.134086	2.054756	1.657443	1.836806	1.836059	1.894276	1.829827	1.638338	1.891978	1.989012	2.337034	2.357406	2.230204	2.236742	2.011666	2.375349	2.431643	2.507217	2.420911	2.575601	2.080197	1.969854	1.746706	2.302047	2.035283	2.050778	1.778732	1.489032	2.097896	2.05725	2.121673	2.597392	2.539206	2.102999	2.267799	2.305592	2.332841	2.63894	2.127213	2.435117	2.460189	2.572353	2.284219	2.506994	2.582239	2.874171	2.086974	2.079974	2.903363	2.866883	2.295369	1.907727	2.035778	2.077246	2.199222	2.357123	2.643526	2.990128	2.406123	2.256171	2.508869	2.757239	2.855456	2.685001	2.503483	2.739249	2.810646	2.545907	2.970503	2.908629	2.68411	2.630705	2.126493	2.688593	2.778625	2.716653	2.179431	2.164014	2.109832	2.382578	2.226831	2.562838	2.492298	2.103289	2.447698	2.980316	2.608691	2.691808	2.474518	3.198765	3.050456	2.693876	2.532689	2.953815	2.797162	2.807389	2.507813	2.563905	2.331554	2.329175	2.174906	2.106885	2.216706	2.748178	2.701912	2.683563	2.080847	1.870468	2.468996	2.486529	2.488991	2.327683	2.001176	2.483017	2.334434	2.032523	2.129737	1.959748	2.331594	2.642044	2.414242	2.681087	1.922461	2.111974	2.464669	2.432477	2.863413	2.464356
30	2.210477	2.6298	2.418809	2.246351	1.578466	2.036757	2.394407	2.247447	2.554263	1.939828	2.081234	2.053131	2.374871	2.666295	2.356905	1.878538	2.07837	2.365547	2.337776	2.710543	1.447399	1.751343	2.088535	2.282172	2.678064	2.281745	2.204675	2.214953	2.355785	1.869851	2.072322	2.442693	2.537149	2.468377	2.133772	2.214892	2.020698	2.357095	2.454468	2.356352	2.389322	2.039943	2.245818	2.542303	2.401273	2.066063	2.034676	2.04444	1.901094	1.980636	2.215603	2.49945	2.02862	2.302501	1.873584	2.662019	2.61699	2.560103	2.382127	2.415138	2.380961	2.268646	2.275093	2.831131	2.60657	2.286278	2.33616	2.104494	2.081506	2.096275	2.265397	2.215194	2.236516	2.111709	1.683176	1.884137	1.862062	1.94418	1.876897	1.659041	1.962728	2.062252	2.446151	2.455703	2.320443	2.318058	2.087845	2.51521	2.551005	2.659535	2.55153	2.728897	2.187935	2.077708	1.789999	2.42452	2.111697	2.120616	1.82702	1.512173	2.144825	2.097222	2.184817	2.678416	2.638613	2.134186	2.322436	2.384582	2.415584	2.731834	2.176204	2.522157	2.554202	2.721488	2.379514	2.563431	2.692228	3.020559	2.142747	2.131195	3.030608	2.973053	2.397017	1.948255	2.080461	2.120744	2.250663	2.425545	2.731735	3.118285	2.467904	2.333931	2.629829	2.858614	2.922676	2.798676	2.609154	2.860198	2.920968	2.625964	3.05056	3.033447	2.753597	2.703957	2.174899	2.778064	2.851375	2.807913	2.231354	2.197489	2.187107	2.471793	2.291523	2.667832	2.639637	2.169424	2.564543	3.146983	2.734459	2.881994	2.614148	3.387574	3.182513	2.838014	2.664782	3.101027	2.926606	2.907058	2.608851	2.697074	2.423081	2.419445	2.27042	2.168219	2.280871	2.922024	2.858797	2.901848	2.136324	1.903522	2.606768	2.602971	2.57714	2.41662	2.043622	2.558819	2.428605	2.098651	2.22184	2.009754	2.419725	2.760555	2.51979	2.802547	1.976942	2.189235	2.53857	2.523946	3.001401	2.616025
32	2.264194	2.684116	2.520849	2.326144	1.579751	2.077224	2.485126	2.349525	2.626188	1.95959	2.122499	2.092085	2.420625	2.760335	2.421639	1.896108	2.127603	2.433052	2.385062	2.801331	1.449226	1.76994	2.128138	2.383265	2.771478	2.326955	2.240878	2.277838	2.409467	1.897564	2.125983	2.524146	2.599241	2.555101	2.166869	2.25666	2.046624	2.40709	2.555228	2.39658	2.450135	2.077302	2.293997	2.684496	2.494408	2.082886	2.065474	2.078104	1.932573	2.013755	2.333771	2.6239	2.109455	2.401273	1.908728	2.782172	2.793534	2.73794	2.485135	2.543851	2.486893	2.377249	2.414742	2.955185	2.809027	2.370951	2.414015	2.17616	2.131593	2.130033	2.362424	2.276634	2.30515	2.178118	1.708024	1.915883	1.910237	1.976003	1.90667	1.671997	2.009206	2.123878	2.580858	2.554224	2.401792	2.424423	2.166509	2.610843	2.649183	2.741529	2.621472	2.874249	2.281374	2.175927	1.834219	2.518512	2.180393	2.195862	1.877434	1.526338	2.175803	2.136237	2.22365	2.76306	2.697403	2.161403	2.368533	2.460174	2.506252	2.821733	2.214986	2.592518	2.608507	2.783838	2.43838	2.638225	2.778576	3.147387	2.202418	2.1766	3.137748	3.095975	2.46771	1.965343	2.123748	2.145357	2.302315	2.467519	2.80766	3.210334	2.522193	2.38834	2.711144	2.962668	3.030825	2.89259	2.699694	2.963032	2.982951	2.68567	3.136824	3.14231	2.815012	2.751735	2.201615	2.866201	2.938096	2.867935	2.256428	2.230856	2.256108	2.560712	2.35897	2.805915	2.742782	2.235092	2.64368	3.327279	2.910007	3.082491	2.722814	3.539122	3.328201	2.948174	2.783579	3.294975	3.048442	3.028768	2.69527	2.808828	2.513241	2.505425	2.372352	2.223141	2.344164	3.117686	2.983266	3.056762	2.176227	1.91564	2.750933	2.734782	2.701942	2.486129	2.080488	2.665796	2.510524	2.172503	2.28963	2.050813	2.518564	2.871278	2.613213	2.971251	2.046265	2.275796	2.63586	2.59778	3.133868	2.721748
34	1.992208	2.177871	2.513242	2.503469	1.573646	1.810393	2.206631	2.405023	3.318834	1.998497	1.886991	1.930251	2.242903	3.373528	2.540304	1.764578	1.923293	2.288951	2.447256	3.181421	1.420862	1.741883	2.023581	2.677895	3.118528	2.316101	2.239854	2.48893	2.599454	1.902401	1.961876	2.297126	2.615879	2.568825	2.206309	2.066546	1.934939	2.276055	2.571045	2.621205	2.210331	1.96196	2.124947	2.661656	3.071957	1.970116	1.921275	1.986626	1.890672	2.035189	2.41578	2.701501	2.191518	2.483032	1.925409	2.919018	2.90032	2.889307	2.632828	2.67016	2.499752	2.437489	2.51244	3.12409	3.074447	2.388095	2.471641	2.190495	2.150274	2.145226	2.396177	2.292029	2.333683	2.208685	1.70382	1.920792	1.938788	2.008674	1.916316	1.674412	2.022233	2.142003	2.700555	2.639965	2.457498	2.462058	2.184353	2.712914	2.830014	2.814626	2.698556	2.902333	2.339807	2.265901	1.868274	2.519573	2.207483	2.244603	1.912642	1.528521	2.104473	2.088144	2.229853	2.89519	2.965911	2.055215	2.258419	2.638918	3.025318	3.12236	2.073481	2.374644	2.799648	3.669656	2.8183	2.348917	2.621608	3.160666	2.308843	2.359279	2.99808	3.175942	2.864651	2.034163	2.206847	2.006386	2.228485	2.405321	2.820437	3.551014	2.351474	2.263931	2.766137	4.058229	3.866855	2.651065	2.33657	2.978235	3.332279	2.792814	2.912178	3.097889	3.205813	2.871073	2.18345	2.567509	2.909379	2.987909	2.306014	2.245274	2.215125	2.543474	2.393176	2.864398	2.954444	2.209249	2.62655	3.352692	3.102502	3.146802	2.710757	3.519718	3.358153	3.006663	2.873996	3.330073	3.215335	3.19121	2.81452	2.962074	2.509477	2.530003	2.458133	2.238235	2.353267	3.256763	3.065612	3.125012	2.190634	1.910495	2.803762	2.804462	2.864984	2.54762	2.072751	2.684411	2.46198	2.285808	2.354756	2.060012	2.51021	2.706896	2.50239	2.78375	1.996139	2.246697	2.604381	2.574385	3.056941	2.665406
36	2.063926	2.390335	2.61601	2.577637	1.578538	1.900454	2.368933	2.385736	3.216656	2.018124	1.974277	1.969995	2.222581	3.059271	2.504177	1.825164	2.014394	2.326524	2.286577	2.899926	1.434382	1.765677	2.0467	2.5074	3.285268	2.387467	2.304855	2.589038	2.638516	1.915236	2.017051	2.400532	2.750852	2.573011	2.226444	2.135733	1.989937	2.359807	2.622221	2.571491	2.311203	2.020645	2.170122	2.728488	3.11667	2.017118	1.974888	2.032463	1.911736	2.057835	2.459732	2.756813	2.234935	2.521434	1.940178	2.989807	2.948906	2.969305	2.717062	2.714448	2.542277	2.476324	2.586098	3.225379	3.150803	2.451249	2.543819	2.228791	2.206017	2.158217	2.434242	2.372526	2.405738	2.252875	1.718865	1.931567	1.95085	2.016138	1.944036	1.676395	2.053905	2.173144	2.777261	2.670184	2.519721	2.534417	2.236526	2.76915	2.882786	2.879155	2.740079	2.988997	2.381678	2.304384	1.878617	2.593425	2.239223	2.304026	1.945492	1.534257	2.221588	2.161288	2.302082	3.021915	3.05742	2.102413	2.307521	2.702388	3.081583	3.22483	2.107723	2.386625	2.701815	3.694138	2.920274	2.370834	2.458614	3.096548	2.370186	2.439375	3.013563	3.012265	2.753822	2.079858	2.268675	2.055667	2.302238	2.498001	2.93758	3.663373	2.402772	2.326811	2.892839	4.10653	3.924445	2.739938	2.384939	3.210949	3.589905	2.913519	3.008579	3.163552	3.243667	2.943316	2.251394	2.623323	2.945762	3.035052	2.341331	2.31019	2.261303	2.603961	2.430268	2.901209	2.986464	2.238772	2.678094	3.444573	3.172299	3.267154	2.776883	3.618423	3.416247	3.129489	2.944077	3.412871	3.301214	3.251655	2.850941	3.041819	2.546287	2.582261	2.501477	2.284017	2.411805	3.298456	3.109034	3.172063	2.221737	1.918929	2.867141	2.872233	2.938348	2.600632	2.096305	2.734935	2.522697	2.332877	2.430729	2.077333	2.587133	2.806842	2.583986	2.901978	2.051421	2.322113	2.664004	2.649617	3.177207	2.740874
38	1.929786	2.121709	2.480567	2.27094	1.576588	1.806062	2.223901	2.050399	2.731082	1.969648	1.885806	1.894098	1.975338	2.395659	2.489664	1.776662	1.877447	2.167572	1.985016	2.756933	1.404367	1.728215	2.032621	2.191416	3.050787	2.298985	2.128524	2.398677	2.530468	1.891565	1.993881	2.252241	2.436949	2.552508	2.232286	2.016108	1.919564	2.095071	2.233307	2.611914	2.064465	1.917657	2.035822	2.317509	2.354423	1.935546	1.858822	1.893348	1.800374	1.956219	2.563592	2.82967	2.305908	2.56267	1.967636	3.128281	3.023279	3.109031	2.763598	2.840402	2.624529	2.566945	2.681615	3.296544	3.240894	2.510981	2.649676	2.284231	2.29254	2.201689	2.525769	2.438418	2.498268	2.288296	1.733629	1.944019	1.974893	2.046439	1.969508	1.682632	2.103394	2.202113	2.934408	2.729913	2.594471	2.678785	2.309132	2.843304	2.959818	3.006571	2.822784	3.120286	2.457047	2.438875	1.903675	2.692906	2.321701	2.388522	1.966571	1.54021	2.132373	2.11453	2.220164	2.792327	2.504102	2.056849	2.25386	2.377587	2.575857	2.8225	2.084828	2.230557	2.154174	3.321904	2.538032	2.233809	1.959726	2.661372	2.195539	2.262413	2.504322	2.607896	2.369594	2.031733	2.19703	2.057792	2.255461	2.390641	2.488244	3.070259	2.514462	2.313574	2.367885	2.676049	2.817684	2.740031	2.204727	2.481261	2.272814	2.749135	2.862806	2.631252	2.430068	2.631767	2.208609	2.500166	2.734086	2.676772	2.230089	2.227121	2.335135	2.655913	2.467001	2.944899	3.111672	2.272929	2.713609	3.466664	3.100903	3.347275	2.852275	3.658666	3.467371	3.268612	3.074038	3.540008	3.122414	3.176876	2.912042	3.149098	2.603285	2.586618	2.485211	2.328902	2.552747	3.502122	3.27784	3.302611	2.246913	1.931364	2.994791	3.007023	2.961812	2.65698	2.124261	2.805984	2.583978	2.304035	2.350114	2.091783	2.655972	2.891173	2.644322	3.10431	2.105011	2.371092	2.744753	2.80442	3.518138	2.891617
40	1.938035	2.175331	2.536184	2.305908	1.577519	1.816594	2.250469	2.032904	2.708228	1.981046	1.914262	1.912048	1.969201	2.382314	2.519614	1.791767	1.900813	2.198673	1.942628	2.795452	1.408888	1.735843	2.075014	2.197481	3.109322	2.353824	2.128403	2.422975	2.545842	1.902328	2.029029	2.276901	2.465336	2.554055	2.256654	2.030497	1.925325	2.108038	2.249773	2.588505	2.057084	1.945916	2.06428	2.363126	2.357727	1.94302	1.864362	1.919166	1.823971	1.96839	2.659175	2.934963	2.376725	2.62115	1.988786	3.308695	3.130263	3.219312	2.920802	2.928804	2.693948	2.641849	2.780535	3.508405	3.415882	2.632163	2.751692	2.359157	2.377809	2.242305	2.635924	2.528677	2.578668	2.33646	1.743935	1.96485	2.006989	2.068003	1.997763	1.682993	2.155968	2.241183	3.044287	2.813013	2.679305	2.820787	2.372396	2.968818	3.087249	3.115759	2.93889	3.286984	2.559522	2.528795	1.92721	2.812866	2.390256	2.517626	1.998087	1.54211	2.160035	2.136544	2.250057	2.780324	2.454649	2.081376	2.286683	2.406472	2.593282	2.824773	2.107878	2.272804	2.136625	3.380681	2.566763	2.259667	1.95402	2.674879	2.203984	2.292151	2.497696	2.5803	2.415121	2.054181	2.228271	2.080419	2.295582	2.414871	2.570016	3.049462	2.53496	2.368525	2.3882	2.657208	2.861156	2.754947	2.210962	2.471109	2.291183	2.793659	2.834243	2.69715	2.472418	2.683388	2.226255	2.530529	2.776031	2.731307	2.262819	2.248489	2.42948	2.745738	2.516246	3.048428	3.199879	2.328615	2.806219	3.585856	3.281657	3.546824	2.973763	3.844809	3.685855	3.418633	3.167047	3.755396	3.26391	3.32856	3.015272	3.217762	2.696956	2.661879	2.588753	2.372968	2.611196	3.711348	3.403523	3.434011	2.284399	1.940511	3.135087	3.134973	3.114396	2.719605	2.146627	2.895838	2.694902	2.361494	2.418868	2.1208	2.725501	3.00352	2.73423	3.270116	2.15198	2.4374	2.832443	2.902555	3.628647	3.012271
42	2.017209	2.366752	2.680847	2.429445	1.579326	1.863439	2.331945	2.130116	2.859113	2.003086	1.972416	1.940436	2.00793	2.582033	2.569559	1.825104	1.98653	2.278627	2.099535	2.924774	1.424067	1.752542	2.086145	2.389067	3.236316	2.389682	2.165745	2.48884	2.648744	1.932639	2.046383	2.353034	2.537818	2.690021	2.31963	2.061867	1.950319	2.11461	2.336505	2.7092	2.092305	1.962222	2.08709	2.426756	2.515979	1.974382	1.901348	1.960592	1.842448	2.020036	2.748904	3.04979	2.450102	2.71374	2.019213	3.476516	3.280245	3.42223	3.050865	3.040577	2.768359	2.715203	2.895028	3.728004	3.649465	2.721197	2.859799	2.425708	2.47251	2.287601	2.738843	2.588663	2.651505	2.392875	1.75075	1.992047	2.034538	2.09325	2.022693	1.683266	2.202309	2.280421	3.166337	2.893461	2.745885	2.973761	2.466358	3.101023	3.204475	3.253297	3.06608	3.444403	2.67291	2.634736	1.944966	2.946892	2.452667	2.625039	2.018491	1.542703	2.221781	2.17418	2.295301	2.963382	2.609307	2.119221	2.341748	2.508452	2.727596	2.92183	2.153844	2.387394	2.246005	3.653408	2.639811	2.375542	2.07182	2.837601	2.329322	2.334986	2.630669	2.823343	2.479003	2.094054	2.260492	2.117332	2.338338	2.49574	2.695794	3.242845	2.595389	2.429172	2.513429	2.841216	3.051796	2.782825	2.341542	2.596812	2.380476	2.881619	2.943356	2.8284	2.552278	2.735441	2.265662	2.677789	2.917877	2.840079	2.290554	2.279832	2.510642	2.850414	2.555467	3.208892	3.383198	2.383281	2.897044	3.773042	3.490642	3.728773	3.084341	4.029754	3.855636	3.61775	3.291228	4.02137	3.425823	3.472706	3.115789	3.302322	2.776116	2.752068	2.674884	2.410522	2.653066	4.019897	3.66895	3.604998	2.311643	1.953529	3.253305	3.268936	3.29768	2.767062	2.157554	2.977889	2.79853	2.456023	2.479923	2.150165	2.805615	3.089544	2.828651	3.453274	2.188052	2.509413	2.912286	2.967811	3.839779	3.112406
