Gene,func,WG_Mut_BF,WG_WT_BF,group,pool_group
CT45A7,Other,-2.055,-2.4255,Normal,none
CT47A11,NEG,-4.557,-8.028,Normal,none
CT47B1,Other,-8.984,-9.4825,Normal,none
CT55,Other,-3.864,-1.4725,Normal,none
CT62,Other,-6.617,-10.4805,Normal,none
CT83,Other,-9.85,-10.999,Normal,none
CTAG1A,Other,-2.718,-3.997,Normal,none
CTAG1B,Other,-6.194,-6.29,Normal,none
CTAG2,Other,-3.737,-7.5525,Normal,none
CTAGE1,Other,-4.803,-9.158,Normal,none
CTAGE15,Other,-3.351,-2.899,Normal,none
CTAGE6,Other,-4.064,-8.179,Normal,none
CTAGE8,Other,-7.425,-9.3075,Normal,none
CTAGE9,Other,-1.623,-1.322,Normal,none
CTBP1,Other,-11.087,-10.8825,Normal,none
CTBP2,Other,2.351,3.5965,Normal,none
CTBS,Other,-6.753,-9.8725,Normal,none
CTC1,Other,19.987,14.397,Normal,none
CTCF,Other,2.019,1.329,Normal,none
CTCFL,NEG,-8.175,-9.551,Normal,none
CTDNEP1,Other,1.573,-1.188,Normal,none
CTDP1,CEG,12.197,11.4905,Normal,none
CTDSP1,Other,-10.369,-10.3765,Normal,none
CTDSP2,Other,-4.808,-8.666,Normal,none
CTDSPL,Other,-7.408,-5.523,Normal,none
CTDSPL2,Other,17.686,11.0405,Normal,none
CTF1,Other,-2.466,-2.377,Normal,none
CTGF,Other,-10.571,-5.4345,Normal,none
CTH,Other,-2.078,-1.8905,Normal,none
CTHRC1,Other,0.775,8.151,Normal,LFC
CTIF,Other,-3.567,-7.955,Normal,none
CTLA4,Other,-8.688,-11.155,Normal,none
CTNNA1,Other,26.568,9.2235,Depleted,bagel
CTNNA2,Other,-10.289,-4.263,Normal,none
CTNNA3,Other,-6.982,-8.3,Normal,none
CTNNAL1,Other,-6.055,-7.239,Normal,none
CTNNB1,Other,7.07,2.505,Normal,none
CTNNBIP1,Other,-15.868,-4.074,Enriched,both
CTNNBL1,Other,20.935,13.271,Normal,none
CTNND1,Other,-6.94,-7.682,Normal,none
CTNND2,Other,-5.039,-9.772,Normal,none
CTNS,Other,-8.406,-6.5795,Normal,none
CTPS1,CEG,-2.841,-5.6105,Normal,none
CTPS2,Other,-5.492,-3.952,Normal,none
CTR9,CEG,20.704,14.5335,Normal,none
CTRB1,NEG,-10.237,-10.266,Normal,none
CTRB2,Other,-9.903,-3.122,Normal,none
CTRC,Other,-6.958,-9.399,Normal,none
CTRL,Other,-9.553,-9.552,Normal,none
CTSA,Other,-7.76,-6.6785,Normal,none
CTSB,Other,-5.729,-7.7465,Normal,none
CTSC,Other,-9.667,-6.3785,Normal,none
CTSD,Other,-6.355,-6.601,Normal,none
CTSE,Other,-11.554,-11.4845,Normal,none
CTSF,Other,-9.016,-9.7575,Normal,none
CTSG,Other,-9.361,-9.8475,Normal,none
CTSH,Other,-5.565,-0.6515,Normal,none
CTSK,Other,-8.143,-9.3925,Normal,none
CTSL,Other,-8.061,-8.2805,Normal,none
CTSO,Other,-6.37,-4.5,Normal,none
CTSS,Other,-7.799,-6.882,Normal,none
CTSV,Other,-9.099,-7.108,Normal,none
CTSW,Other,-5.824,-0.197,Normal,none
CTSZ,Other,-4.765,-7.7275,Normal,none
CTTN,Other,-9.06,-7.15,Normal,none
CTTNBP2,Other,1.2,-1.137,Normal,none
CTTNBP2NL,Other,-6.044,-10.3395,Normal,none
CTU1,Other,10.569,9.6085,Normal,none
CTU2,Other,24.056,8.922,Depleted,bagel
CTXN1,Other,-3.018,2.102,Normal,none
CTXN2,Other,-7.075,-8.551,Normal,none
CTXN3,Other,-11.685,-9.281,Normal,none
CUBN,Other,-8.879,-2.6955,Normal,none
CUEDC1,Other,-9.201,-9.0535,Normal,none
CUEDC2,Other,-8.264,-8.6435,Normal,none
CUL1,Other,0.369,11.645,Enriched,both
CUL2,Other,16.271,10.2155,Normal,none
CUL3,Other,-6.974,0.4945,Enriched,both
CUL4A,Other,-6.305,-7.4185,Normal,none
CUL4B,Other,-5.58,-8.0555,Normal,none
CUL5,Other,4.98,-1.345,Normal,none
CUL7,Other,-7.28,-9.532,Normal,none
CUL9,Other,1.724,4.0525,Normal,none
CUTA,Other,-6.741,-9.6115,Normal,none
CUTC,Other,-8.563,-5.311,Normal,none
CUX1,Other,-7.335,-9.0785,Normal,none
CUX2,Other,-9.868,-8.2385,Normal,none
CUZD1,Other,-10.35,-10.224,Normal,none
CWC15,Other,13.064,11.572,Normal,none
CWC22,Other,20.782,12.5,Normal,none
CWC25,Other,10.651,9.3175,Normal,none
CWC27,Other,-4.096,-7.7315,Normal,none
CWF19L1,Other,-3.029,-2.6505,Normal,none
CWF19L2,Other,18.774,12.808,Normal,none
CWH43,Other,-7.295,-8.1085,Normal,none
CX3CL1,Other,1.556,-0.7125,Normal,none
CX3CR1,Other,-7.197,-7.175,Normal,none
CXADR,Other,-3.772,-1.092,Normal,none
CXCL1,Other,-4.101,0.407,Normal,none
CXCL10,Other,-8.648,-9.881,Normal,none
CXCL11,Other,-7.399,-4.888,Normal,none
CXCL12,Other,-8.975,-9.431,Normal,none
CXCL13,Other,-6.384,-9.161,Normal,none
CXCL14,Other,-7.261,-8.415,Normal,none
CXCL16,Other,-0.945,-2.5965,Normal,none
CXCL17,Other,-5.739,-5.2845,Normal,none
CXCL2,Other,-9.362,-10.5405,Normal,none
CXCL3,Other,-8.518,-7.2545,Normal,none
CXCL5,Other,-12.953,-1.769,Enriched,both
CXCL6,Other,9.984,4.3565,Normal,none
CXCL8,Other,-7.795,-9.31,Normal,none
CXCL9,Other,-8.811,-7.8965,Normal,none
CXCR1,Other,-7.679,-1.914,Normal,none
CXCR2,Other,-5.363,-10.042,Normal,none
CXCR3,Other,-8.416,-10.056,Normal,none
CXCR4,Other,-5.505,-9.365,Normal,none
CXCR5,Other,-7.627,-10.349,Normal,none
CXCR6,Other,-6.357,-8.0755,Normal,none
CXXC1,Other,26.301,15.434,Depleted,bagel
CXXC4,Other,-7.154,-8.8435,Normal,none
CXXC5,Other,2.542,-1.655,Normal,none
CXorf21,Other,-7.132,-8.848,Normal,none
CXorf23,Other,-7.735,-9.112,Normal,none
CXorf36,Other,-7.951,-10.187,Normal,none
CXorf38,Other,-8.47,-10.025,Normal,none
CXorf40A,Other,-7.527,-9.5715,Normal,none
CXorf40B,Other,-9.284,-9.028,Normal,none
CXorf49,Other,-9.383,-9.115,Normal,none
CXorf49B,Other,-3.007,-3.1505,Normal,none
CXorf51A,Other,-8.187,-9.277,Normal,none
CXorf56,Other,-21.045,-10.7305,Enriched,bagel
CXorf57,Other,-5.91,-8.0475,Normal,none
CXorf58,Other,-6.135,-9.6105,Normal,none
CXorf65,Other,-7.189,-7.3865,Normal,none
CXorf66,NEG,-7.939,-10.0085,Normal,none
CXorf67,Other,-6.785,-7.697,Normal,none
CYB561,Other,-10.278,-10.2615,Normal,none
CYB561A3,Other,-2.517,-2.4745,Normal,none
CYB561D1,Other,-5.947,-2.321,Normal,none
CYB561D2,Other,-8.593,-9.253,Normal,none
CYB5A,Other,-10.788,-9.484,Normal,none
CYB5B,Other,-8.528,-8.836,Normal,none
CYB5D1,Other,-0.146,-1.4285,Normal,none
CYB5D2,Other,-5.818,-7.1105,Normal,none
CYB5R1,Other,-8.721,-7.92,Normal,none
CYB5R2,Other,-10.729,-9.44,Normal,none
CYB5R3,Other,-8.159,-8.448,Normal,none
CYB5R4,Other,22.745,16.1095,Normal,none
CYB5RL,Other,11.408,6.7345,Normal,none
CYBA,Other,-11.15,-9.107,Normal,none
CYBB,Other,-9.818,-9.7165,Normal,none
CYBRD1,Other,-7.815,-4.079,Normal,none
CYC1,Other,-4.006,-2.6915,Normal,none
CYCS,CEG,1.097,8.35,Normal,LFC
CYFIP1,Other,0.864,-7.833,Depleted,bagel
CYFIP2,Other,-4.307,-8.1425,Normal,none
CYGB,Other,1.393,-4.371,Normal,none
CYHR1,Other,-1.907,-3.049,Normal,none
CYLC1,Other,-10.194,-11.1865,Normal,none
CYLC2,NEG,-8.907,-8.8875,Normal,none
CYLD,Other,0.798,-2.138,Normal,none
CYP11A1,Other,-9.127,-9.146,Normal,none
CYP11B1,NEG,-4.221,-5.3695,Normal,none
CYP11B2,NEG,-10.092,-8.2555,Normal,none
CYP17A1,Other,-5.684,-10.902,Normal,none
CYP19A1,Other,-9.627,-10.491,Normal,none
CYP1A1,Other,-2.955,0.452,Normal,none
CYP1A2,Other,-8.647,-3.6125,Normal,none
CYP1B1,Other,-6.877,-2.016,Normal,none
CYP20A1,Other,-12.476,-12.7095,Normal,none
CYP21A2,Other,-7.541,-9.202,Normal,none
CYP24A1,Other,-6.503,-7.8835,Normal,none
CYP26A1,Other,-9.105,-7.6625,Normal,none
CYP26B1,Other,-7.555,-8.9975,Normal,none
CYP26C1,NEG,3.544,-0.436,Normal,none
CYP27A1,Other,-9.427,-9.642,Normal,none
CYP27B1,Other,-8.928,-10.215,Normal,none
CYP27C1,Other,-5.537,-10.904,Normal,none
CYP2A13,NEG,-7.05,-8.229,Normal,none
CYP2A6,Other,-6.697,-9.5675,Normal,none
CYP2A7,Other,-8.602,-9.2935,Normal,none
CYP2B6,Other,-11.058,-9.5455,Normal,none
CYP2C18,Other,-10.74,-8.7775,Normal,none
CYP2C19,NEG,-8.81,-5.636,Normal,none
CYP2C8,Other,-7.672,-8.368,Normal,none
CYP2C9,Other,-6.932,-9.215,Normal,none
CYP2D6,Other,0.505,1.0645,Normal,none
CYP2E1,Other,-6.384,-7.5295,Normal,none
CYP2F1,Other,-7.72,-0.3575,Normal,none
CYP2J2,Other,-9.83,-8.6815,Normal,none
CYP2R1,Other,-7.586,-8.611,Normal,none
CYP2S1,Other,-7.933,-8.387,Normal,none
CYP2U1,Other,3.615,-0.3515,Normal,none
CYP2W1,Other,-5.138,-5.3185,Normal,none
CYP39A1,Other,-9.308,-10.92,Normal,none
CYP3A4,Other,-4.281,-3.4545,Normal,none
CYP3A43,Other,-6.928,-9.376,Normal,none
CYP3A5,Other,-8.297,-8.087,Normal,none
CYP3A7,Other,-8.957,-8.9505,Normal,none
CYP46A1,Other,-6.337,-9.4565,Normal,none
CYP4A11,Other,-12.559,-9.9675,Normal,none
CYP4A22,NEG,-2.26,-1.5735,Normal,none
CYP4B1,Other,-4.022,3.9365,Enriched,both
CYP4F11,Other,-9.947,-8.811,Normal,none
CYP4F12,Other,-10.82,-10.069,Normal,none
CYP4F2,Other,-11.567,-5.631,Normal,none
CYP4F22,Other,-7.373,-8.88,Normal,none
CYP4F3,Other,-2.406,-3.0615,Normal,none
CYP4F8,NEG,-7.15,-11.1075,Normal,none
CYP4V2,Other,-6.431,-7.768,Normal,none
CYP4X1,Other,-4.882,-2.7255,Normal,none
CYP4Z1,Other,-9.089,-8.347,Normal,none
CYP51A1,Other,-14.149,-8.6605,Normal,none
CYP7A1,NEG,-8.723,-6.557,Normal,none
CYP7B1,Other,2.062,-1.7585,Normal,none
CYP8B1,Other,-10.252,-10.887,Normal,none
CYR61,Other,-0.359,-2.663,Normal,none
CYS1,Other,-8.438,-5.329,Normal,none
CYSLTR1,Other,-9.455,-11.2705,Normal,none
CYSLTR2,Other,-7.583,-6.622,Normal,none
CYSRT1,Other,-9.987,-11.382,Normal,none
CYSTM1,Other,-6.659,-8.0485,Normal,none
CYTH1,Other,-5.846,-2.8075,Normal,none
CYTH2,Other,-4.347,-7.0905,Normal,none
CYTH3,Other,6.031,2.347,Normal,none
CYTH4,Other,-3.501,-3.036,Normal,none
CYTIP,Other,-8.566,-9.076,Normal,none
CYTL1,Other,-6.456,-4.7515,Normal,none
CYYR1,Other,-9.106,-9.887,Normal,none
CYYR1-AS1,Other,-8.65,-8.412,Normal,none
D2HGDH,Other,-9.432,-8.911,Normal,none
DAAM1,Other,-6.54,-9.2375,Normal,none
DAAM2,Other,-3.54,-5.3015,Normal,none
DAB1,Other,-4.241,-8.88,Normal,none
DAB2,Other,-8.995,-10.1635,Normal,none
DAB2IP,Other,3.109,-1.7915,Normal,none
DACH1,Other,-8.712,-8.784,Normal,none
DACH2,Other,-7.147,-7.983,Normal,none
DACT1,Other,-7.019,-8.0605,Normal,none
DACT2,Other,-9.782,-11.957,Normal,none
DACT3,Other,-7.308,-8.486,Normal,none
DAD1,CEG,16.734,14.444,Normal,none
DAG1,Other,-4.438,1.878,Normal,none
DAGLA,Other,-5.215,-1.849,Normal,none
DALRD3,Other,-6.41,-6.5105,Normal,none
DAND5,Other,-9.109,-10.0535,Normal,none
DAO,Other,-5.738,-8.1585,Normal,none
DAOA,Other,-6.829,-7.3515,Normal,none
DAP,Other,-5.671,3.2775,Enriched,both
DAP3,Other,11.719,5.924,Normal,none
DAPK1,Other,-6.886,-10.571,Normal,none
DAPK2,Other,3.224,4.2035,Normal,none
DAPK3,Other,-13.04,-6.593,Normal,none
DAPL1,Other,-5.275,-9.37,Normal,none
DAPP1,Other,-5.296,-7.653,Normal,none
DARS,Other,18.643,12.391,Normal,none
DARS2,Other,10.637,9.5965,Normal,none
DAW1,Other,-5.29,-6.3915,Normal,none
DAXX,Other,11.584,9.5825,Normal,none
DAZ1,NEG,-8.063,-9.622,Normal,none
DAZ2,NEG,-4.358,-3.341,Normal,none
DAZAP1,Other,-2.495,1.152,Normal,none
DAZAP2,Other,-5.457,-10.049,Normal,none
DAZL,NEG,-10.733,-9.177,Normal,none
DBF4,Other,12.444,9.4785,Normal,none
DBF4B,Other,-9.503,-11.2935,Normal,none
DBH,Other,-9.457,-11.791,Normal,none
DBI,Other,-0.694,-5.1135,Normal,none
DBN1,Other,-9.352,-8.4765,Normal,none
DBNDD1,Other,-8.914,-4.359,Normal,none
DBNDD2,Other,-8.606,-11.7095,Normal,none
DBNL,Other,-8.215,-9.1255,Normal,none
DBP,Other,-7.984,-6.5155,Normal,none
DBR1,CEG,21.327,12.939,Normal,none
DBT,Other,-7.813,-10.362,Normal,none
DBX1,Other,-6.137,-9.836,Normal,none
DBX2,Other,-8.251,-0.535,Enriched,bagel
DCAF1,Other,2.632,8.384,Normal,LFC
DCAF10,Other,-3.808,-5.9505,Normal,none
DCAF11,Other,-6.53,-7.1445,Normal,none
DCAF12,Other,-8.177,-3.3015,Normal,none
DCAF12L1,Other,-3.253,-6.7655,Normal,none
DCAF12L2,Other,-7.534,-9.6355,Normal,none
DCAF13,Other,18.568,10.9725,Normal,none
DCAF15,Other,-7.055,2.196,Enriched,both
DCAF16,Other,7.319,9.071,Normal,LFC
DCAF17,Other,-6.989,-7.904,Normal,none
DCAF4,Other,-7.467,-7.371,Normal,none
DCAF4L1,Other,-10.585,-7.924,Normal,none
DCAF4L2,NEG,-7.807,-8.94,Normal,none
DCAF5,Other,-6.581,-9.0975,Normal,none
DCAF6,Other,4.313,-0.0215,Normal,none
DCAF7,Other,-1.715,5.794,Enriched,both
DCAF8L1,NEG,-12.251,-8.019,Normal,none
DCAF8L2,Other,-8.733,-5.6275,Normal,none
DCAKD,Other,-0.652,0.7915,Normal,none
DCANP1,NEG,-9.651,-9.935,Normal,none
DCBLD1,Other,-3.682,-2.899,Normal,none
DCBLD2,Other,1.289,-0.049,Normal,none
DCC,Other,-8.581,-7.7035,Normal,none
DCD,Other,-6.761,-8.688,Normal,none
DCDC1,Other,-4.121,-6.0155,Normal,none
DCDC2,Other,-9.358,-10.3525,Normal,none
DCDC2B,Other,-10.27,-6.5405,Normal,none
DCDC2C,Other,-7.687,-9.0215,Normal,none
DCDC5,Other,-6.213,-8.5025,Normal,none
DCHS1,Other,-10.316,-6.267,Normal,none
DCHS2,Other,-7.547,-6.928,Normal,none
DCK,Other,-0.784,-4.701,Normal,none
DCLK1,Other,-9.211,-9.3195,Normal,none
DCLK2,Other,3.179,1.282,Normal,none
DCLK3,Other,-9.219,-9.6635,Normal,none
DCLRE1A,Other,-4.985,-8.912,Normal,none
DCLRE1B,Other,2.874,6.1705,Normal,none
DCLRE1C,Other,-5.356,-9.455,Normal,none
DCN,Other,-7.584,-8.088,Normal,none
DCP1A,Other,-6.276,-6.3765,Normal,none
DCP1B,Other,-6.707,-5.4015,Normal,none
DCP2,Other,10.992,7.641,Normal,none
DCPS,Other,26.933,10.1055,Depleted,bagel
DCST1,Other,-7.921,-9.12,Normal,none
DCST2,Other,0.709,-3.2335,Normal,none
DCSTAMP,Other,-8.021,-8.4205,Normal,none
DCT,Other,-5.719,-7.5625,Normal,none
DCTD,Other,-7.913,-10.2335,Normal,none
DCTN1,Other,6.003,3.264,Normal,none
DCTN2,Other,8.343,10.5615,Normal,LFC
DCTN3,Other,33.416,17.1695,Depleted,bagel
DCTN4,Other,14.326,11.97,Normal,none
DCTN5,CEG,18.992,10.5145,Depleted,bagel
DCTN6,Other,25.448,14.4435,Depleted,bagel
DCTPP1,Other,-6.158,-4.339,Normal,none
DCUN1D1,Other,-2.136,-1.0295,Normal,none
DCUN1D2,Other,-3.025,-2.8305,Normal,none
DCUN1D3,Other,-9.875,0.1275,Enriched,both
DCUN1D4,Other,-4.902,-1.011,Normal,none
DCUN1D5,Other,-1.976,-5.404,Normal,none
DCX,Other,-11.886,-11.062,Normal,none
DCXR,Other,-6.628,-8.059,Normal,none
DDA1,Other,2.366,4.588,Normal,none
DDAH1,Other,-10.377,-9.0355,Normal,none
DDAH2,Other,-7.04,-11.2585,Normal,none
DDB1,CEG,17.581,17.064,Normal,LFC
DDB2,Other,-6.979,-4.7615,Normal,none
DDC,Other,-9.649,-9.3,Normal,none
DDHD1,Other,-6.303,-9.322,Normal,none
DDHD2,Other,-5.603,-7.8075,Normal,none
DDI1,NEG,-3.361,-6.249,Normal,none
DDI2,Other,1.651,2.5055,Normal,none
DDIAS,Other,-7.677,-7.3505,Normal,none
DDIT3,Other,-4.554,-7.648,Normal,none
DDIT4,Other,-8.983,-10.84,Normal,none
DDIT4L,Other,-8.256,-2.199,Normal,none
DDN,Other,-2.907,0.6545,Normal,none
DDO,Other,-6.141,-7.228,Normal,none
DDOST,CEG,13.694,7.609,Normal,none
DDR1,Other,-1.953,0.619,Normal,none
DDR2,Other,-5.005,-8.6475,Normal,none
DDRGK1,Other,14.183,-0.0985,Depleted,both
DDT,Other,-9.521,-6.6425,Normal,none
DDX1,Other,15.983,11.7395,Normal,none
DDX10,CEG,14.859,6.796,Normal,none
DDX11,Other,-7.183,-11.4785,Normal,none
DDX17,Other,-3.667,-4.684,Normal,none
DDX18,CEG,21.752,12.8755,Depleted,bagel
DDX19A,Other,-9.654,-9.095,Normal,none
DDX19B,Other,-6.56,-8.0535,Normal,none
DDX20,CEG,14.564,10.793,Normal,none
DDX21,CEG,26.24,14.453,Depleted,bagel
DDX23,Other,16.533,15.087,Normal,LFC
DDX24,Other,15.79,9.4635,Normal,none
DDX25,Other,-8.832,-8.8365,Normal,none
DDX27,CEG,23.941,12.36,Depleted,bagel
DDX28,Other,-5.242,-3.774,Normal,none
DDX31,Other,-2.401,6.166,Enriched,both
DDX39A,Other,-13.939,-10.6515,Normal,none
DDX39B,Other,11.253,4.2675,Normal,none
DDX3X,Other,-4.759,-5.649,Normal,none
DDX3Y,Other,-6.877,-3.285,Normal,none
DDX4,NEG,-7.853,-9.1575,Normal,none
DDX41,CEG,28.51,15.2675,Depleted,bagel
DDX42,Other,6.881,7.5975,Normal,none
DDX43,Other,-8.935,-11.225,Normal,none
DDX46,Other,11.532,13.4945,Normal,LFC
DDX47,CEG,20.041,13.8195,Normal,none
DDX49,CEG,3.477,8.2765,Normal,LFC
DDX5,Other,-6.706,-4.8275,Normal,none
DDX50,Other,-9.96,-9.998,Normal,none
DDX51,Other,0.095,8.183,Enriched,both
DDX52,Other,1.766,5.898,Normal,LFC
DDX53,Other,-4.524,-9.181,Normal,none
DDX54,Other,13.353,6.028,Normal,none
DDX55,CEG,19.03,13.7945,Normal,none
DDX56,CEG,21.199,12.0585,Depleted,bagel
DDX58,Other,-5.508,-6.3655,Normal,none
DDX59,Other,17.272,11.61,Normal,none
DDX6,Other,7.167,0.538,Normal,none
DDX60,Other,-7.947,-7.368,Normal,none
DDX60L,Other,1.299,7.198,Normal,LFC
DEAF1,Other,-3.148,-2.0915,Normal,none
DECR1,Other,-12.211,-10.605,Normal,none
DECR2,Other,-6.603,-8.592,Normal,none
DEDD,Other,0.52,4.3435,Normal,none
DEDD2,Other,-7.738,-8.7045,Normal,none
DEF6,Other,-7.181,-8.87,Normal,none
DEF8,Other,-9.363,-3.9325,Normal,none
DEFA3,Other,-4.793,-4.9455,Normal,none
DEFA4,Other,-10.144,-8.2845,Normal,none
DEFA5,NEG,-11.654,-8.0835,Normal,none
DEFA6,NEG,-9.127,-10.107,Normal,none
DEFB1,Other,-11.362,-9.937,Normal,none
DEFB103B,NEG,-8.403,-7.677,Normal,none
DEFB104A,NEG,-8.31,-10.9575,Normal,none
DEFB104B,Other,-3.796,-4.67,Normal,none
DEFB105A,Other,-8.37,-8.427,Normal,none
DEFB106A,NEG,-8.7,-7.1645,Normal,none
DEFB106B,Other,-3.491,-3.297,Normal,none
DEFB107A,NEG,-3.891,1.4435,Normal,none
DEFB108B,Other,-8.662,-10.894,Normal,none
DEFB110,Other,-9.114,-11.0955,Normal,none
DEFB112,Other,-10.801,-8.9495,Normal,none
DEFB113,Other,-9.146,-9.333,Normal,none
DEFB114,Other,-8.411,-7.8405,Normal,none
DEFB115,Other,-7.314,-8.226,Normal,none
DEFB116,Other,-10.028,-10.1145,Normal,none
DEFB118,NEG,-5.367,-2.808,Normal,none
DEFB119,Other,-4.892,6.2755,Enriched,both
DEFB121,Other,-5.348,-8.2975,Normal,none
DEFB123,NEG,-6.089,-9.563,Normal,none
DEFB124,Other,-8.557,-10.0375,Normal,none
DEFB125,Other,-9.687,-8.858,Normal,none
DEFB126,NEG,-10.496,-8.229,Normal,none
DEFB127,NEG,-8.719,-8.839,Normal,none
DEFB128,Other,-5.144,-9.5335,Normal,none
DEFB129,NEG,-8.297,-7.649,Normal,none
DEFB130,Other,-9.99,-7.7125,Normal,none
DEFB131,Other,-7.285,-8.6575,Normal,none
DEFB132,Other,-15.416,-8.661,Normal,none
DEFB133,Other,-10.472,-8.861,Normal,none
DEFB134,Other,-6.564,-8.529,Normal,none
DEFB135,Other,-9.287,-7.5035,Normal,none
DEFB136,Other,-9.638,-10.326,Normal,none
DEFB4A,Other,-9.24,-11.3,Normal,none
DEFB4B,Other,-6.909,-8.148,Normal,none
DEGS1,Other,-7.116,-7.7485,Normal,none
DEGS2,Other,-3.7,-1.9255,Normal,none
DEK,Other,7.635,2.6405,Normal,none
DENND1A,Other,-7.683,-10.34,Normal,none
DENND1B,Other,-8.842,-7.394,Normal,none
DENND1C,Other,-12.642,-6.162,Normal,none
DENND2A,Other,1.085,-0.8125,Normal,none
DENND2C,Other,-9.229,-6.324,Normal,none
DENND2D,Other,-7.357,-8.0635,Normal,none
DENND3,Other,-9.565,-11.1945,Normal,none
DENND4A,Other,-9.986,-10.7625,Normal,none
DENND4B,Other,-9.673,-8.3365,Normal,none
DENND4C,Other,1.631,-5.0375,Normal,none
DENND5A,Other,-7.6,-10.006,Normal,none
DENND5B,Other,3.77,-1.678,Normal,none
DENND6A,Other,-4.702,-9.6505,Normal,none
DENND6B,Other,-7.357,-8.8545,Normal,none
DENR,Other,12.205,11.176,Normal,none
DEPDC1,Other,-4.037,-1.6275,Normal,none
DEPDC1B,Other,-4.166,-3.6205,Normal,none
DEPDC4,Other,-4.726,-8.409,Normal,none
DEPDC5,Other,3.329,0.315,Normal,none
DEPDC7,Other,-3.416,-1.035,Normal,none
DEPTOR,Other,-2.487,-2.961,Normal,none
DERA,Other,-8.474,-6.176,Normal,none
DERL1,Other,-6.638,-9.641,Normal,none
DERL2,Other,12.982,9.5805,Normal,none
DERL3,Other,-7.4,-8.045,Normal,none
DES,Other,-0.571,-2.8335,Normal,none
DESI1,Other,-1.43,-4.4115,Normal,none
DESI2,Other,-4.799,-6.26,Normal,none
DET1,Other,2.738,4.268,Normal,none
DEUP1,Other,-12.764,-10.04,Normal,none
DEXI,Other,-3.97,0.986,Normal,none
DFFA,Other,-3.333,0.5465,Normal,none
DFFB,Other,-6.78,-8.7475,Normal,none
DFNA5,Other,-6.072,-5.7365,Normal,none
DFNB59,Other,-7.225,-8.758,Normal,none
DGAT1,Other,-8.269,-11.0245,Normal,none
DGAT2,Other,-5.191,-3.821,Normal,none
DGAT2L6,NEG,-8.918,-9.0425,Normal,none
DGCR14,Other,24.129,14.172,Depleted,bagel
DGCR2,Other,-6.858,-3.49,Normal,none
DGCR6,Other,-5.327,-7.9165,Normal,none
DGCR6L,Other,-5.673,-6.4895,Normal,none
DGCR8,CEG,18.382,10.569,Normal,none
DGKA,Other,-9.812,-5.2825,Normal,none
DGKB,Other,-6.229,-7.629,Normal,none
DGKD,Other,-8.837,3.471,Enriched,both
DGKE,Other,-10.278,-8.0675,Normal,none
DGKG,Other,0.421,-1.2145,Normal,none
DGKH,Other,-11.138,-7.4095,Normal,none
DGKI,Other,-4.523,-3.3155,Normal,none
DGKK,NEG,-11.854,-7.99,Normal,none
DGKQ,Other,-1.694,-0.2515,Normal,none
DGKZ,Other,-2.084,-0.4245,Normal,none
DGUOK,Other,-8.985,-7.4965,Normal,none
DHCR24,Other,3.967,-0.784,Normal,none
DHCR7,Other,-1.234,-3.1335,Normal,none
DHDDS,Other,25.297,17.0505,Normal,none
DHDH,Other,-9.838,-8.8105,Normal,none
DHFR,Other,-4.323,1.035,Normal,none
DHFR2,Other,-4.539,-5.1075,Normal,none
DHH,Other,-11.759,-5.6305,Normal,none
DHODH,CEG,1.921,1.8845,Normal,none
DHPS,CEG,7.262,5.102,Normal,none
DHRS1,Other,17.826,13.1285,Normal,none
DHRS11,Other,-9.513,-10.6765,Normal,none
DHRS12,Other,-6.137,-8.1005,Normal,none
DHRS13,Other,-7.799,-8.0955,Normal,none
DHRS2,Other,-10.661,-8.7885,Normal,none
DHRS3,Other,-6.691,-8.131,Normal,none
DHRS4,Other,-2.047,-2.2155,Normal,none
DHRS4L1,Other,-9.168,-7.101,Normal,none
DHRS7,Other,-9.423,-9.5475,Normal,none
DHRS7B,Other,-8.843,-9.309,Normal,none
DHRS7C,Other,-10.844,-10.2085,Normal,none
DHRS9,Other,-8.34,-10.6885,Normal,none
DHTKD1,Other,-7.657,-7.407,Normal,none
DHX15,CEG,12.885,11.402,Normal,none
DHX16,Other,16.027,11.9065,Normal,none
DHX29,Other,30.745,13.819,Depleted,bagel
DHX30,Other,12.244,6.7575,Normal,none
DHX32,Other,-9.36,-10.4485,Normal,none
DHX33,CEG,10.19,11.157,Normal,LFC
DHX34,Other,-3.294,-9.287,Normal,none
DHX35,Other,16.998,9.988,Normal,none
DHX36,Other,16.741,11.305,Normal,none
DHX37,CEG,21.721,10.0355,Depleted,bagel
DHX38,Other,-2.482,3.954,Normal,LFC
DHX40,Other,-6.871,-5.853,Normal,none
DHX57,Other,-8.161,-7.925,Normal,none
DHX58,Other,-0.902,-0.1575,Normal,none
DHX8,CEG,4.001,10.848,Normal,LFC
DHX9,CEG,13.408,13.3625,Normal,LFC
DIABLO,Other,-11.791,-7.117,Normal,none
DIAPH1,Other,-8.54,-10.718,Normal,none
DIAPH2,Other,-8.154,-9.273,Normal,none
DIAPH3,Other,-5.328,-5.92,Normal,none
DICER1,Other,21.338,16.0135,Normal,none
DIDO1,Other,-7.433,-8.341,Normal,none
DIEXF,Other,22.57,11.977,Depleted,bagel
DIMT1,CEG,11.697,11.943,Normal,none
DIO1,Other,-1.585,-2.707,Normal,none
DIO2,Other,-9.796,-9.714,Normal,none
DIO3,Other,-5.035,-1.917,Normal,none
DIP2A,Other,-5.545,-8.2795,Normal,none
DIP2B,Other,-6.93,-7.106,Normal,none
