Gene,func,WG_Mut_BF,WG_WT_BF,group,pool_group
ACAN,Other,-5.764,-4.5325,Normal,none
ACAP1,Other,-7.928,-9.733,Normal,none
ACAP2,Other,-6.077,-6.271,Normal,none
ACAP3,Other,-6.384,-7.0445,Normal,none
ACAT1,Other,-9.52,-8.526,Normal,none
ACAT2,Other,20.913,-0.8415,Depleted,both
ACBD3,Other,-0.444,3.2035,Normal,none
ACBD4,Other,-7.695,-7.8515,Normal,none
ACBD5,Other,-0.975,7.14,Enriched,both
ACBD6,Other,-0.63,-2.024,Normal,none
ACBD7,Other,-3,1.0105,Normal,none
ACCS,Other,-8.94,-10.026,Normal,none
ACCSL,NEG,-9.326,-9.959,Normal,none
ACD,Other,5.75,10.5635,Normal,LFC
ACE,Other,-5.68,-5.405,Normal,none
ACE2,Other,-10.592,-9.875,Normal,none
ACER1,Other,-9.024,-6.6515,Normal,none
ACER2,Other,-3.831,-6.261,Normal,none
ACER3,Other,-8.617,-7.866,Normal,none
ACHE,Other,-6.798,-8.385,Normal,none
ACIN1,Other,-10.052,-1.2645,Enriched,both
ACKR1,Other,-8.725,-9.7315,Normal,none
ACKR2,Other,-7.434,-9.316,Normal,none
ACKR3,Other,-11.232,-9.3325,Normal,none
ACKR4,Other,-10.488,-8.22,Normal,none
ACLY,Other,0.21,-3.629,Normal,none
ACMSD,Other,-9.564,-10.1185,Normal,none
ACO1,Other,-10.845,-9.7275,Normal,none
ACO2,Other,3.607,6.9465,Normal,none
ACOD1,Other,-6.642,-7.8365,Normal,none
ACOT1,Other,-8.575,-8.413,Normal,none
ACOT11,Other,-7.338,-9.8835,Normal,none
ACOT12,Other,-6.754,-5.6775,Normal,none
ACOT13,Other,-13.328,-4.8945,Enriched,bagel
ACOT2,Other,-9.405,-11.1225,Normal,none
ACOT4,Other,-9.444,-10.76,Normal,none
ACOT6,Other,-9.748,-9.783,Normal,none
ACOT7,Other,-8.457,-7.2805,Normal,none
ACOT8,Other,-5.807,-6.2995,Normal,none
ACOT9,Other,-4.139,-1.6205,Normal,none
ACOX1,Other,6.917,-1.645,Depleted,bagel
ACOX2,Other,-7.711,-8.2245,Normal,none
ACOX3,Other,-8.91,-8.392,Normal,none
ACOXL,Other,-6.853,-5.1865,Normal,none
ACP1,Other,-8.218,-8.2665,Normal,none
ACP2,Other,-4.273,-1.5695,Normal,none
ACP5,Other,-11.491,-10.8695,Normal,none
ACP6,Other,-8.767,1.541,Enriched,both
ACPP,Other,-5.245,-8.6955,Normal,none
ACPT,Other,-4.979,-2.1855,Normal,none
ACR,Other,-12.113,-10.3745,Normal,none
ACRBP,Other,-1.652,0.254,Normal,none
ACRV1,Other,-8.812,-3.5155,Normal,none
ACSBG1,Other,-8.745,-7.8665,Normal,none
ACSBG2,Other,-6.818,4.323,Enriched,both
ACSF2,Other,-7.863,-3.842,Normal,none
ACSF3,Other,-3.969,-1.95,Normal,none
ACSL1,Other,-7.976,-1.457,Normal,none
ACSL3,Other,3.434,-0.618,Normal,none
ACSL4,Other,-4.353,-6.719,Normal,none
ACSL5,Other,-6.432,-4.39,Normal,none
ACSL6,Other,-2.19,-5.513,Normal,none
ACSM1,Other,-8.13,-5.8775,Normal,none
ACSM2A,Other,-6.526,-2.3505,Normal,none
ACSM2B,Other,-8.853,-8.062,Normal,none
ACSM3,Other,-6.684,-8.1155,Normal,none
ACSM4,Other,-6.254,-6.9185,Normal,none
ACSM5,Other,-0.557,-1.4335,Normal,none
ACSM6,Other,-7.124,-8.645,Normal,none
ACSS1,Other,-8.46,-9.488,Normal,none
ACSS2,Other,-3.018,-9.299,Normal,none
ACSS3,Other,-3.368,-5.3335,Normal,none
ACTA1,Other,0.037,2.125,Normal,none
ACTA2,Other,-5.441,-8.1935,Normal,none
ACTB,CEG,-4.963,-4.6075,Normal,none
ACTBL2,Other,-7.169,-10.2975,Normal,none
ACTC1,Other,-9.082,-7.4615,Normal,none
ACTG1,Other,-6.825,-9.009,Normal,none
ACTG2,Other,-7.116,-8.5995,Normal,none
ACTL10,Other,-5.875,-8.222,Normal,none
ACTL6A,CEG,19.586,16.054,Normal,none
ACTL6B,Other,-7.692,-9.8445,Normal,none
ACTL7A,NEG,-8.792,-10.4235,Normal,none
ACTL7B,NEG,1.652,6.508,Normal,LFC
ACTL8,Other,-10.928,-8.07,Normal,none
ACTL9,NEG,-4.208,-2.8155,Normal,none
ACTN1,Other,5.636,1.686,Normal,none
ACTN2,Other,-6.985,-6.602,Normal,none
ACTN3,Other,-8.641,-8.7795,Normal,none
ACTN4,Other,-11.245,-9.5095,Normal,none
ACTR10,CEG,23.441,12.5455,Depleted,bagel
ACTR1A,Other,12.952,9.0025,Normal,none
ACTR1B,Other,4.043,-1.778,Normal,none
ACTR2,CEG,14.421,6.077,Normal,none
ACTR3,Other,8.512,-0.123,Depleted,bagel
ACTR3B,Other,0.72,-1.215,Normal,none
ACTR3C,Other,0.785,-0.6625,Normal,none
ACTR5,Other,7.998,3.093,Normal,none
ACTR6,Other,19.262,17.3485,Normal,LFC
ACTR8,Other,20.882,14.456,Normal,none
ACTRT1,NEG,-10.256,-8.569,Normal,none
ACTRT2,Other,-13.57,-13.758,Normal,none
ACTRT3,Other,-9.84,-10.472,Normal,none
ACVR1,Other,-7.196,-7.7535,Normal,none
ACVR1B,Other,-11.185,-2.605,Enriched,bagel
ACVR1C,Other,-9.989,-8.9785,Normal,none
ACVR2A,Other,-7.747,-11.363,Normal,none
ACVR2B,Other,-7.637,-7.9425,Normal,none
ACVRL1,Other,-8.894,-6.599,Normal,none
ACY1,Other,-0.347,2.228,Normal,none
ACY3,Other,-9.823,-9.0005,Normal,none
ACYP1,Other,-2.94,-1.355,Normal,none
ACYP2,Other,-9.095,-8.2465,Normal,none
ADA,Other,-8.997,-6.5175,Normal,none
ADA2,Other,-3.128,-1.644,Normal,none
ADAD1,NEG,-9.827,-7.8535,Normal,none
ADAD2,Other,-8.304,-9.7815,Normal,none
ADAL,Other,-11.044,-11.3815,Normal,none
ADAM10,Other,-5.224,-5.1955,Normal,none
ADAM11,Other,-6.209,1.712,Enriched,both
ADAM12,Other,-7.253,-9.0115,Normal,none
ADAM15,Other,-7.949,-9.524,Normal,none
ADAM17,Other,-8.552,-9.171,Normal,none
ADAM18,NEG,-4.875,4.296,Enriched,both
ADAM19,Other,-11.039,-7.37,Normal,none
ADAM2,NEG,-10.487,-7.1115,Normal,none
ADAM20,NEG,-9.717,-8.092,Normal,none
ADAM21,Other,-8.205,-9.655,Normal,none
ADAM22,Other,-10.09,-8.563,Normal,none
ADAM23,Other,-2.387,-4.6635,Normal,none
ADAM28,Other,-8.775,-10.5945,Normal,none
ADAM29,Other,-7.577,-9.2385,Normal,none
ADAM30,NEG,-8.076,-11.1925,Normal,none
ADAM32,Other,5.105,0.6425,Normal,none
ADAM33,Other,-5.377,-8.066,Normal,none
ADAM7,Other,-9.078,-9.0785,Normal,none
ADAM8,Other,-9.799,-8.743,Normal,none
ADAM9,Other,3.53,-0.6495,Normal,none
ADAMDEC1,Other,-10.191,-9.745,Normal,none
ADAMTS1,Other,-5.762,-2.3345,Normal,none
ADAMTS10,Other,-7.046,-9.3825,Normal,none
ADAMTS12,Other,-8.09,-9.2725,Normal,none
ADAMTS13,Other,0.556,1.524,Normal,none
ADAMTS14,Other,-7.446,-9.259,Normal,none
ADAMTS15,Other,-0.861,-0.3085,Normal,none
ADAMTS16,Other,-8.551,-10.953,Normal,none
ADAMTS17,Other,-6.55,-9.004,Normal,none
ADAMTS18,Other,-7.853,-9.14,Normal,none
ADAMTS19,Other,-4.876,-1.272,Normal,none
ADAMTS2,Other,-9.547,-8.617,Normal,none
ADAMTS20,Other,-6.049,-5.129,Normal,none
ADAMTS3,Other,0.627,0.004,Normal,none
ADAMTS4,Other,-1.511,-0.702,Normal,none
ADAMTS5,Other,-2.139,-4.613,Normal,none
ADAMTS6,Other,-9.887,-3.093,Normal,none
ADAMTS7,Other,-5.206,-5.286,Normal,none
ADAMTS8,Other,1.329,3.6885,Normal,none
ADAMTS9,Other,-4.9,-0.1765,Normal,none
ADAMTSL1,Other,-6.851,-10.301,Normal,none
ADAMTSL2,Other,-9.502,-11.7375,Normal,none
ADAMTSL3,Other,-7.233,-9.5855,Normal,none
ADAMTSL4,Other,-5.132,-0.0695,Normal,none
ADAMTSL5,Other,-3.6,-6.3505,Normal,none
ADAP1,Other,-7.802,-7.011,Normal,none
ADAP2,Other,-3.624,-5.0015,Normal,none
ADAR,Other,-9.89,-8.092,Normal,none
ADARB1,Other,-5.133,-5.06,Normal,none
ADARB2,Other,-7.569,-9.506,Normal,none
ADAT1,Other,-7.13,-9.699,Normal,none
ADAT2,Other,30.242,17.076,Depleted,bagel
ADCK1,Other,-8.046,-8.008,Normal,none
ADCK2,Other,-10.392,-8.108,Normal,none
ADCK5,Other,-9.24,-9.023,Normal,none
ADCY1,Other,-7.261,-1.7175,Normal,none
ADCY10,Other,-6.016,1.9105,Enriched,both
ADCY2,Other,-6.162,-9.6055,Normal,none
ADCY4,Other,-0.27,-1.205,Normal,none
ADCY5,Other,-7.747,-2.104,Normal,none
ADCY6,Other,-1.111,0.6235,Normal,none
ADCY7,Other,-8.214,-10.1165,Normal,none
ADCY8,Other,-8.903,-7.1735,Normal,none
ADCY9,Other,-1.294,-2.158,Normal,none
ADCYAP1,Other,-10.216,-9.871,Normal,none
ADCYAP1R1,Other,-6.901,-8.6495,Normal,none
ADD1,Other,-4.671,-2.016,Normal,none
ADD2,Other,-2.879,-3.265,Normal,none
ADD3,Other,0.198,3.451,Normal,none
ADGB,Other,-6.347,-8.332,Normal,none
ADGRA1,Other,-9.413,-9.807,Normal,none
ADGRA2,Other,-10.291,-10.162,Normal,none
ADGRA3,Other,0.006,-0.688,Normal,none
ADGRB1,Other,3.873,1.9305,Normal,none
ADGRB2,Other,-3.024,-3.04,Normal,none
ADGRB3,Other,-7.792,-7.8515,Normal,none
ADGRD1,Other,-10.28,-8.005,Normal,none
ADGRD2,Other,-5.316,-2.9835,Normal,none
ADGRE1,Other,-10.928,-10.275,Normal,none
ADGRE2,Other,-9.15,-5.405,Normal,none
ADGRE3,Other,-8.54,-8.693,Normal,none
ADGRE5,Other,-9.085,-5.9365,Normal,none
ADGRF1,Other,-7.84,-7.85,Normal,none
ADGRF2,Other,-6.995,-10.04,Normal,none
ADGRF3,Other,-5.008,-6.2515,Normal,none
ADGRF4,Other,-8.507,-5.143,Normal,none
ADGRF5,Other,-7.975,-9.3135,Normal,none
ADGRG1,Other,-4.833,-9.037,Normal,none
ADGRG2,Other,-7.807,-10.9735,Normal,none
ADGRG3,Other,-9.283,-10.805,Normal,none
ADGRG4,Other,-8.929,-8.7035,Normal,none
ADGRG5,Other,-3.842,-1.5,Normal,none
ADGRG6,Other,-9.856,-8.664,Normal,none
ADGRG7,NEG,-7.993,-9.9745,Normal,none
ADGRL1,Other,-3.418,0.6365,Normal,none
ADGRL2,Other,-8.41,-10.1605,Normal,none
ADGRL3,Other,-11.785,-9.869,Normal,none
ADGRL4,Other,-9.317,-9.8465,Normal,none
ADGRV1,Other,-8.759,-7.869,Normal,none
ADH1A,Other,-8.847,-8.626,Normal,none
ADH1B,Other,-7.448,-9.8215,Normal,none
ADH1C,Other,-9.865,-11.7275,Normal,none
ADH4,Other,-10.532,-9.2685,Normal,none
ADH5,Other,-9.895,-12.8895,Normal,none
ADH6,Other,-9.797,-8.7215,Normal,none
