Gene,func,IPSC_D18,K562_D21
A1BG,Other,0.441933570791934,0.514748422959903
A1CF,Other,0.523308568315098,-0.178217530419932
A2M,Other,-1.49278919467389,-1.29188566163899
A2ML1,Other,0.659400683505796,0.600161613351323
A3GALT2,Other,0.414296664351372,0.280814703308472
A4GALT,Other,-0.379628892372718,0.235643147644023
A4GNT,Other,0.496609994412349,-0.1450645503334
AAAS,Other,0.503825498844816,-0.156486738053928
AACS,Other,-1.123584095513,0.672242213109697
AADAC,Other,0.379626235462624,0.0228791712292503
AADACL2,Other,0.319422691186846,-0.0107290521753137
AADACL3,Other,0.51964803532137,0.274563152794006
AADACL4,Other,0.437015494190503,-0.0903981858045985
AADAT,Other,0.525893171856355,0.254867156200627
AAED1,Other,0.200373739087152,-0.354311015824185
AAGAB,Other,-1.41212144890181,-1.08677480035846
AAK1,Other,0.597158135377975,0.266631025206313
AAMDC,Other,0.678285877075598,0.464591517026802
AAMP,Other,-3.48483435340168,-1.38271294737521
AANAT,Other,0.29618223116146303,0.155492238067322
AAR2,Other,-2.39432297545962,-1.89487820936629
AARD,Other,-0.219565208827143,-0.080541870158493
AARS,CEG,-3.92805576517434,-3.56920193478483
AARS2,Other,-3.66135154072287,-2.16176453974944
AARSD1,Other,0.412538705957325,-0.0607821676963209
AASDH,Other,0.26886431131591,0.101222368366912
AASDHPPT,Other,-3.23530997538015,0.119371779962565
AASS,Other,0.513624302281783,0.168241193843672
AATF,Other,-3.94084341134813,-3.46712825850433
AATK,Other,-0.0316120212898422,-0.099326963436109
ABAT,Other,0.135623248738979,-0.0931757577144889
ABCA1,Other,-2.70351423983649,-1.63416909780728
ABCA10,Other,0.365030962753971,-0.112687984614797
ABCA12,Other,-0.324162495397714,-0.0993385220005723
ABCA13,Other,0.626393481662326,-0.190656729905214
ABCA2,Other,-0.418502608556806,-0.216191056401884
ABCA3,Other,0.384028055344368,-0.0909157731991431
ABCA4,Other,0.710314676877425,0.573996793766612
ABCA5,Other,0.565015992633195,0.256244179322783
ABCA6,Other,0.360209964236557,-0.556876809340234
ABCA7,Other,-1.65431794413661,-0.67364480737357
ABCA8,Other,-0.765462005497097,-0.434199118172411
ABCA9,Other,-0.19038125594704,-0.311401935384571
ABCB1,Other,0.282333737009657,0.365665039041282
ABCB10,Other,0.413500415055201,0.095708391119983
ABCB11,Other,0.084377786901743,0.154120173839493
ABCB4,Other,0.374839933730218,-0.0388165230099184
ABCB5,Other,0.361071726178343,0.0406427932284892
ABCB6,Other,0.405191246924156,0.0263395154606666
ABCB7,Other,-2.9019515229216,-2.14885015947142
ABCB8,Other,0.329266670014665,0.420160854407582
ABCB9,Other,-0.0575428572577046,-1.37349984509609
ABCC1,Other,0.235592531751345,0.229925606667639
ABCC10,Other,0.0502992308544192,-0.660811035996686
ABCC11,Other,0.292162644566373,0.407301778376129
ABCC12,Other,0.335632184937564,0.149285385177398
ABCC2,Other,0.328488376277267,0.304627147772385
ABCC3,Other,-0.329751909934673,-0.0392385614799816
ABCC4,Other,-1.30697901009212,-0.550550931401668
ABCC5,Other,-0.357149577092782,0.481765915720104
ABCC6,Other,0.136287626641848,-0.0154652722144792
ABCC8,Other,0.246876712940308,0.232001492439259
ABCC9,Other,-2.45717726549745,-0.0296152172654803
ABCD1,Other,-1.94531814511672,-0.113736248342873
ABCD2,Other,0.177848547060169,-0.107293974573211
ABCD3,Other,-1.53085591279969,-1.10627289034342
ABCD4,Other,-0.736528564907952,-0.272822947639714
ABCE1,CEG,-3.55113116080079,-3.27930248556117
ABCF1,CEG,-0.635095715352333,0.0910179442616315
ABCF2,Other,0.628521385912431,0.327099796573167
ABCF3,Other,0.322570450114982,-0.0616652520618524
ABCG1,Other,0.288335185387821,-0.0570259445037592
ABCG2,Other,0.483368080316027,0.249643885964673
ABCG4,Other,0.456799731514032,0.184054764254131
ABCG5,Other,-0.0236191237470299,0.0586481571592442
ABCG8,NEG,0.169593401099194,0.0368587019219165
ABHD1,Other,0.419363279986082,0.128323840283675
ABHD10,Other,0.600940000107182,0.333807651809408
ABHD11,Other,0.351187917376077,-0.141075140881717
ABHD12,Other,-1.0279012672888,-0.0114458760720253
ABHD12B,Other,-0.263795869545786,-0.212006504423784
ABHD13,Other,-0.325262693049783,-0.151881860536976
ABHD14A,Other,-1.51295576692589,0.110111582467616
ABHD14B,Other,0.302110592378815,-0.0163589434266059
ABHD15,Other,0.0251762015106539,0.149247425806614
ABHD16A,Other,0.298398501247967,0.22465886011842
ABHD16B,Other,0.36492444361609,-0.203707925998532
ABHD17A,Other,-0.907705433173194,-0.315499349033935
ABHD17B,Other,0.241156117957738,0.309645167262388
ABHD17C,Other,-0.676950723164887,0.375273788368094
ABHD2,Other,-0.278150485586482,-0.127634702838358
ABHD3,Other,-0.975623917259734,-0.98984245780277
ABHD4,Other,-0.178881647821263,0.277941155648687
ABHD5,Other,0.190173243297745,-0.157130433530269
ABHD6,Other,-0.458422949995725,-0.308861339308672
ABHD8,Other,0.0268683569385548,0.108438417961183
ABI1,Other,0.194858133600201,-0.10942094440806
ABI2,Other,0.580050060323321,0.057171077508523
ABI3,Other,0.192421541562755,-0.255363704917701
ABI3BP,Other,0.164739617829305,0.16834418841367
ABL1,Other,-0.0497071642822674,-0.273813076750568
ABL2,Other,0.577610601359023,0.10772510697733
ABLIM1,Other,0.351421464712769,0.14745154609214
ABLIM2,Other,-0.414342629810382,-0.177372991970363
ABLIM3,Other,0.243481587267413,0.285224272188358
ABO,Other,-2.05446668780965,-0.2260339186078
ABR,Other,-1.53169442940808,-2.00214954706956
ABRA,Other,0.298872392418654,-1.11647034363645
ABRACL,Other,-0.186141149063261,0.370483399367355
ABT1,Other,-3.63588622521478,-1.91038728918012
ABTB1,Other,0.0919846609381586,-0.404086076278915
ABTB2,Other,0.176136045067288,0.196640700574561
ACAA1,Other,-0.223374457322437,-0.0748194031732473
ACAA2,Other,-1.18206119618963,0.0474482095410715
ACACA,Other,-3.61920298822819,-0.880358250972993
ACACB,Other,0.499134968416385,0.348432581640139
ACAD10,Other,0.224183314324552,0.555941279349784
ACAD11,Other,-1.42058643252955,0.297176662395563
ACAD8,Other,-0.596049986209734,-0.835641488289662
ACAD9,Other,-1.94374003886318,-1.2444254492903
ACADL,Other,-0.336414302753821,-0.150030969418298
ACADM,Other,0.172050088761762,0.0680754113388001
ACADS,Other,0.182526049328115,0.129798276490705
ACADSB,Other,-2.3407700749624,-1.48364305379043
ACADVL,Other,0.375439141055383,-0.0820066608773757
ACAN,Other,-0.334372742023569,0.205776821062823
ACAP1,Other,0.125056385665919,-0.299385452494231
ACAP2,Other,0.348888815553594,-0.00223897501989168
ACAP3,Other,0.404451142241576,-0.276714343837809
ACAT1,Other,0.255448291736579,0.0570305673758571
ACAT2,Other,-1.53308041804355,-0.166572643439132
ACBD3,Other,-1.32699712433888,-0.690404392356601
ACBD4,Other,0.408794254814355,0.1311045585363
